org_name,org_uuid,arr_ind,current_arr,current_vm_arr,vm_ccy,current_vm_arr_eu,vm_ccy_eu,current_vm_arr_total,vm_ccy_total,ccy_bins,arr_per_vm
happn,00eee57772ea4991ae4baafcbed0937a,True,31403,0,0,27945.09,18,27945.09,18,10-24,1552.505
Costco EQA,012428bab86b448e81f0f6d5023a94a3,True,790530,387600,190,0.0,0,387600.0,190,100-249,2040.0
Ingenico,01d4f01f9ebd44f09e3468594e731ee2,True,9880,0,0,9879.6,4,9879.6,4,1-9,2469.9
iPipeline UK,01e29b3fa7e64501b9e2ed5bea5310c1,True,9600,0,0,9600.0,8,9600.0,8,1-9,1200.0
sincro,020772bdda174bc895eaebf381ac3895,True,79800,79800,50,0.0,0,79800.0,50,50-99,1596.0
Patelco,0243e340be9e4635ae45329b2a360c8d,True,66893,23484,10,0.0,0,23484.0,10,10-24,2348.4
Fusion,036d25dd46cc49249c7a1bce1c8d7843,True,29626,0,0,29626.2,17,29626.2,17,10-24,1742.7176470588236
NYL,03af95db5f5046b4877b4dd2e0912587,True,289800,100800,60,0.0,0,100800.0,60,50-99,1680.0
"BabyCenter, LLC",0404fedcc8e84bdfa5cad91505412ff1,True,24720,24720,10,0.0,0,24720.0,10,10-24,2472.0
"Visa Technology and Operations, LLC",0419d1cc1bfb45d3a3f70c62f0587b7a,True,178200,162000,50,16200.0,5,178200.0,55,50-99,3240.0
Best Western International,0440e6b8427347b99fac625272e153ae,True,166327,147427,80,0.0,0,147427.0,80,50-99,1842.8375
Trakstar,04460817ba984c7f90e6a052a79b641b,True,19053,9526,16,0.0,0,9526.0,16,10-24,595.375
Channel 4,050e4ea2cc6c46f1bb2c81af5275c3c6,True,105599,0,0,63359.87,55,63359.87,55,50-99,1151.9976363636365
predictive-index,054f3371f0774b28b0b1e9ac22cbe060,True,20880,20880,10,0.0,0,20880.0,10,10-24,2088.0
Cmed Technology,055386ca1e434d0db6b8b25508265861,True,17880,0,0,17880.0,10,17880.0,10,10-24,1788.0
IBM Watson Health,069621c0a3b44cb1abe498f4d102bb65,True,19800,19800,10,0.0,0,19800.0,10,10-24,1980.0
Ikano Bank AB,071b1281c4b945e09de9d94e8ef3dee8,True,71484,0,0,11631.26,12,11631.26,12,10-24,969.2716666666666
Cisco Live Streaming,077055e9e7e849ccae487808c5c595f7,True,41872,18269,10,0.0,0,18269.0,10,10-24,1826.9
Adevinta,0770f2b36ab84bad9515221e1d73a20e,True,19200,0,0,19200.0,11,19200.0,11,10-24,1745.4545454545455
Unqork,0786abc86d834cc29e79d0dc6f00f7f1,True,884550,180000,150,0.0,0,180000.0,150,100-249,1200.0
Splunk,08365d885ffb43ee9964c09fd1e77c0c,True,185408,162000,100,0.0,0,162000.0,100,100-249,1620.0
Careerbuilder.com,0869236fc47447d3a07c4f4f714f47df,False,24000,271920,10,0.0,0,271920.0,10,10-24,27192.0
Yell,087426ea9b9d4b07aa5147bf8d6f2f1e,True,62027,0,0,29999.38,40,29999.38,40,25-49,749.9845
The Home Depot,08a9b5e301b349f8b05c183adabc4a85,True,378900,348588,300,0.0,0,348588.0,300,250-499,1161.96
Deloitte Application Studios,091ec930d29d4a5d8080c758190332a1,True,156600,31200,20,0.0,0,31200.0,20,10-24,1560.0
Leaf Group,09710957fe2944f897d60646e41e10da,False,23760,100829,20,0.0,0,100829.0,20,10-24,5041.45
Bank of the West,09737c75995c45a69dbad635b5987126,True,130080,107400,50,0.0,0,107400.0,50,50-99,2148.0
Happy Money,097f96c200264da0a7babd5d055533a8,True,65196,41100,32,0.0,0,41100.0,32,25-49,1284.375
Mulesoft,0a252d1b6f3b42c38c1c265054adb745,True,89486,89486,58,0.0,0,89486.0,58,50-99,1542.8620689655172
Tapestry,0a354d0843e146a39c692240ba3a31c9,True,141660,35760,50,0.0,0,35760.0,50,50-99,715.2
AAMC,0acc1fb367324413bd4d2a2e431e6f01,True,64926,64926,30,0.0,0,64926.0,30,25-49,2164.2
hseffler,0b2f3e83fad245c980bac55985c6198f,True,35410,0,0,31809.61,20,31809.61,20,10-24,1590.4805000000001
Adobe_PlatfromEngineering,0b84d5c256ee4d7dbf6beae4bda8d58c,True,302772,140112,190,0.0,0,140112.0,190,100-249,737.4315789473684
"Buzzfeed, Inc.",0bee6427dc56464eaf6dbe5ceed33a7c,True,16441,16441,10,0.0,0,16441.0,10,10-24,1644.1
Quest,0c2c415182894a6bbdcc30bfebd01f9a,False,27000,48000,10,0.0,0,48000.0,10,10-24,4800.0
plusgradeteam,0ce651962cb040ecad8f83dd413f174b,True,19200,19200,10,0.0,0,19200.0,10,10-24,1920.0
GM Financial,0ceb55ad64384c6f85dec96ccc66ead1,True,92035,22500,15,0.0,0,22500.0,15,10-24,1500.0
Kimble Applications Limited,0d209c5172d74b10a005ccec88faeb9c,False,16083,216,0,16083.38,8,16299.38,8,1-9,2037.4225
ASG,0d9552aaf47147be94bdeb17ea3ce945,True,33600,9600,4,0.0,0,9600.0,4,1-9,2400.0
TWDC,0e8889f4694e4c0aa4c0c9756b7fdbb6,True,59856,49776,30,0.0,0,49776.0,30,25-49,1659.2
PCAP,0eac6c441d194242962b5a43a11702a3,True,71930,41952,26,0.0,0,41952.0,26,25-49,1613.5384615384614
