org_name,org_uuid,arr_ind,current_arr,current_vm_arr,vm_ccy,current_vm_arr_eu,vm_de_ccy,current_vm_arr_total,vm_ccy_total,ccy_bins,arr_per_vm,counts_win,mins_win,counts_mac,mins_mac,counts_android,mins_android,counts_ios,mins_ios,mins_total,counts_total,mins_win_perc,mins_mac_perc,mins_android_perc,mins_ios_perc,counts_win_perc,counts_mac_perc,counts_android_perc,counts_ios_perc,win_arr,mac_arr,ios_arr,android_arr
happn,00eee57772ea4991ae4baafcbed0937a,True,31403,0,0,27945.09,18,27945.09,18,2:10-24,1552.505,14524.0,4726.65,23.0,19.7,59520.0,815692.92,48420.0,557754.62,1378193.88,122487.0,0.0,0.0,0.59,0.4,0.12,0.0,0.49,0.4,0.0,0.0,11178.036,16487.6031
Costco EQA,012428bab86b448e81f0f6d5023a94a3,True,790530,387600,190,0.0,0,387600.0,190,5:100-249,2040.0,28445.0,199419.7,421212.0,2877858.73,24659.0,79877.23,5271.0,31084.93,3188240.6,479587.0,0.06,0.9,0.03,0.01,0.06,0.88,0.05,0.01,23256.0,348840.0,3876.0,11628.0
Ingenico,01d4f01f9ebd44f09e3468594e731ee2,True,9880,0,0,9879.6,4,9879.6,4,1:1-9,2469.9,100740.0,8984.49,231.0,5526.28,20.0,450.3,42.0,1093.65,16054.72,101033.0,0.56,0.34,0.03,0.07,1.0,0.0,0.0,0.0,5532.576000000001,3359.0640000000003,691.5720000000001,296.388
iPipeline UK,01e29b3fa7e64501b9e2ed5bea5310c1,True,9600,0,0,9600.0,8,9600.0,8,1:1-9,1200.0,81593.0,64320.18,2367.0,5894.6,13.0,239.57,85.0,2503.42,72957.77,84058.0,0.88,0.08,0.0,0.03,0.97,0.03,0.0,0.0,8448.0,768.0,288.0,0.0
sincro,020772bdda174bc895eaebf381ac3895,True,79800,79800,50,0.0,0,79800.0,50,4:50-99,1596.0,2784.0,12639.4,51110.0,174093.58,0.0,0.0,703.0,5749.42,192482.4,54597.0,0.07,0.9,0.0,0.03,0.05,0.94,0.0,0.01,5586.000000000001,71820.0,2394.0,0.0
Patelco,0243e340be9e4635ae45329b2a360c8d,True,66893,23484,10,0.0,0,23484.0,10,2:10-24,2348.4,1302.0,23160.83,118.0,4009.25,45.0,579.0,33.0,411.65,28160.73,1498.0,0.82,0.14,0.02,0.01,0.87,0.08,0.03,0.02,19256.879999999997,3287.76,234.84,469.68
Fusion,036d25dd46cc49249c7a1bce1c8d7843,True,29626,0,0,29626.2,17,29626.2,17,2:10-24,1742.7176470588236,5595.0,20852.03,0.0,0.0,0.0,0.0,0.0,0.0,20852.03,5595.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,29626.2,0.0,0.0,0.0
NYL,03af95db5f5046b4877b4dd2e0912587,True,289800,100800,60,0.0,0,100800.0,60,4:50-99,1680.0,572410.0,2965443.25,8590.0,78538.98,53.0,1690.22,66.0,3191.02,3048863.47,581119.0,0.97,0.03,0.0,0.0,0.99,0.01,0.0,0.0,97776.0,3024.0,0.0,0.0
"BabyCenter, LLC",0404fedcc8e84bdfa5cad91505412ff1,True,24720,24720,10,0.0,0,24720.0,10,2:10-24,2472.0,542046.0,1026368.13,0.0,0.0,115612.0,119755.33,131718.0,127403.15,1273526.62,789376.0,0.81,0.0,0.09,0.1,0.69,0.0,0.15,0.17,20023.2,0.0,2472.0,2224.7999999999997
"Visa Technology and Operations, LLC",0419d1cc1bfb45d3a3f70c62f0587b7a,True,178200,162000,50,16200.0,5,178200.0,55,4:50-99,3240.0,248237.0,1001424.88,33242.0,369055.1,110.0,3153.73,151.0,3181.95,1376815.67,281740.0,0.73,0.27,0.0,0.0,0.88,0.12,0.0,0.0,130086.0,48114.0,0.0,0.0
Best Western International,0440e6b8427347b99fac625272e153ae,True,166327,147427,80,0.0,0,147427.0,80,4:50-99,1842.8375,1277182.0,3556200.7,404.0,4023.07,1642.0,6518.93,4977.0,14014.42,3580757.12,1284205.0,0.99,0.0,0.0,0.0,0.99,0.0,0.0,0.0,145952.73,0.0,0.0,0.0
Trakstar,04460817ba984c7f90e6a052a79b641b,True,19053,9526,16,0.0,0,9526.0,16,2:10-24,595.375,426995.0,337976.2,760.0,2255.88,0.0,0.0,0.0,0.0,340232.08,427755.0,0.99,0.01,0.0,0.0,1.0,0.0,0.0,0.0,9430.74,95.26,0.0,0.0
Channel 4,050e4ea2cc6c46f1bb2c81af5275c3c6,True,105599,0,0,63359.87,55,63359.87,55,4:50-99,1151.9976363636365,1697226.0,1275296.57,214.0,6491.6,7.0,69.95,6.0,233.75,1282091.87,1697453.0,0.99,0.01,0.0,0.0,1.0,0.0,0.0,0.0,62726.2713,633.5987,0.0,0.0
predictive-index,054f3371f0774b28b0b1e9ac22cbe060,True,20880,20880,10,0.0,0,20880.0,10,2:10-24,2088.0,124165.0,302762.85,0.0,0.0,0.0,0.0,0.0,0.0,302762.85,124165.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,20880.0,0.0,0.0,0.0
Cmed Technology,055386ca1e434d0db6b8b25508265861,True,17880,0,0,17880.0,10,17880.0,10,2:10-24,1788.0,251729.0,230610.9,30634.0,27903.75,0.0,0.0,1.0,70.3,258584.95,282364.0,0.89,0.11,0.0,0.0,0.89,0.11,0.0,0.0,15913.2,1966.8,0.0,0.0
IBM Watson Health,069621c0a3b44cb1abe498f4d102bb65,True,19800,19800,10,0.0,0,19800.0,10,2:10-24,1980.0,14500.0,35480.02,4877.0,21739.75,4550.0,25268.57,2734.0,29209.95,111698.28,26661.0,0.32,0.19,0.23,0.26,0.54,0.18,0.17,0.1,6336.0,3762.0,5148.0,4554.0
Ikano Bank AB,071b1281c4b945e09de9d94e8ef3dee8,True,71484,0,0,11631.26,12,11631.26,12,2:10-24,969.2716666666666,15812.0,18889.3,77.0,518.68,22.0,273.58,23.0,328.8,20010.37,15934.0,0.94,0.03,0.01,0.02,0.99,0.0,0.0,0.0,10933.384399999999,348.9378,232.6252,116.3126
Cisco Live Streaming,077055e9e7e849ccae487808c5c595f7,True,41872,18269,10,0.0,0,18269.0,10,2:10-24,1826.9,,,,,,,,,,,,,,,,,,,,,,
Adevinta,0770f2b36ab84bad9515221e1d73a20e,True,19200,0,0,19200.0,11,19200.0,11,2:10-24,1745.4545454545455,53952.0,35369.38,8797.0,2711.42,429.0,74.92,422.0,569.38,38725.1,63600.0,0.91,0.07,0.0,0.01,0.85,0.14,0.01,0.01,17472.0,1344.0000000000002,192.0,0.0
Unqork,0786abc86d834cc29e79d0dc6f00f7f1,True,884550,180000,150,0.0,0,180000.0,150,5:100-249,1200.0,738424.0,809504.43,6672865.0,6482434.42,93.0,3919.0,273.0,10257.47,7306115.32,7411655.0,0.11,0.89,0.0,0.0,0.1,0.9,0.0,0.0,19800.0,160200.0,0.0,0.0
Splunk,08365d885ffb43ee9964c09fd1e77c0c,True,185408,162000,100,0.0,0,162000.0,100,5:100-249,1620.0,5511174.0,5110656.78,303848.0,125864.77,549095.0,231747.22,4666.0,7296.27,5475565.03,6368783.0,0.93,0.02,0.04,0.0,0.87,0.05,0.09,0.0,150660.0,3240.0,0.0,6480.0
Careerbuilder.com,0869236fc47447d3a07c4f4f714f47df,False,24000,271920,10,0.0,0,271920.0,10,2:10-24,27192.0,2965354.0,3469677.37,5.0,193.57,37.0,51.75,0.0,0.0,3469922.68,2965396.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,271920.0,0.0,0.0,0.0
Yell,087426ea9b9d4b07aa5147bf8d6f2f1e,True,62027,0,0,29999.38,40,29999.38,40,3:25-49,749.9845,5561.0,4460.87,12.0,26.42,12.0,300.65,5525.0,397546.93,402334.87,11110.0,0.01,0.0,0.0,0.99,0.5,0.0,0.0,0.5,299.9938,0.0,29699.3862,0.0
The Home Depot,08a9b5e301b349f8b05c183adabc4a85,True,378900,348588,300,0.0,0,348588.0,300,6:250-499,1161.96,3507085.0,14806175.67,451934.0,2036107.45,400912.0,1639961.82,686612.0,4691572.18,23173817.12,5046543.0,0.64,0.09,0.07,0.2,0.69,0.09,0.08,0.14,223096.32,31372.92,69717.6,24401.160000000003
Deloitte Application Studios,091ec930d29d4a5d8080c758190332a1,True,156600,31200,20,0.0,0,31200.0,20,2:10-24,1560.0,52.0,335.07,72.0,3779.67,10.0,30.75,34.0,302.03,4447.52,168.0,0.08,0.85,0.01,0.07,0.31,0.43,0.06,0.2,2496.0,26520.0,2184.0,312.0
Leaf Group,09710957fe2944f897d60646e41e10da,False,23760,100829,20,0.0,0,100829.0,20,2:10-24,5041.45,102112.0,50849.31,574021.0,367329.76,69903.0,44037.51,119482.0,64280.52,526497.09,865518.0,0.1,0.7,0.08,0.12,0.12,0.66,0.08,0.14,10082.900000000001,70580.29999999999,12099.48,8066.320000000001
