org_name,org_uuid,arr_ind,current_arr,current_vm_arr,vm_ccy,current_vm_arr_eu,vm_de_ccy,current_vm_arr_total,vm_ccy_total,ccy_bins,arr_per_vm,ccy_pc_perc,ccy_android_perc,ccy_mac_perc,ccy_ios_perc,win_ccy,mac_ccy,android_ccy,ios_ccy
OptumTest,78d9e644185246b3af6734166bc71c72,True,2615317,2222701,2000,0.0,0,2222701.0,2000,7:500+,1111.3505,0.93900973,0.025495767,0.007098901,0.028395603,1878.01946,14.197802000000001,50.991534,56.791205999999995
salesforce,3bf044288d5c4febba549cb7228e8822,True,2169031,2064031,1530,0.0,0,2064031.0,1530,7:500+,1349.039869,0.084109678,0.084803104,0.0,0.831087223,128.68780733999998,0.0,129.74874912,1271.56345119
Walmart,c5131d94c01c49b9b1c3e7265c05a9ba,True,2089126,1662898,1320,0.0,0,1662898.0,1320,7:500+,1259.771212,0.13777118,0.108251799,0.509443932,0.244533087,181.8579576,672.4659902400001,142.89237468,322.78367484
Schwab,6e628f9ca34d4d3a81fda1b9efb1075b,True,1281866,1129968,529,0.0,0,1129968.0,529,7:500+,2136.045369,0.897176543,0.030441113,0.031021012,0.04136135,474.60639124700003,16.410115348,16.103348777,21.88015415
Intuit,e65728b698e34c32989352af0119b888,True,900000,900000,600,0.0,0,900000.0,600,7:500+,1500.0,0.434271439,0.004261643,0.552410999,0.009055918,260.56286339999997,331.4465994,2.5569858,5.4335508
Yahoo Inc !,97c8f05970dd445f950cae18040941ce,True,1193432,861840,950,0.0,0,861840.0,950,7:500+,907.2,0.40097629,0.060699158,0.471033986,0.067290569,380.9274755,447.48228670000003,57.6642001,63.926040549999996
Twitter,738477b236cf46f48f092da946beabb6,True,1046400,856800,1000,0.0,0,856800.0,1000,7:500+,856.8,0.544285013,0.130299852,0.0,0.325408722,544.2850129999999,0.0,130.299852,325.408722
Roblox,1f2b3af12e4a4ed29b2946d288f7973a,True,765000,765000,850,0.0,0,765000.0,850,7:500+,900.0,0.999822305,1.8e-05,0.0,0.0,849.84895925,0.0,0.015300000000000001,0.0
SAP SE,c1008103efe14dfe999ed2031b2b5e84,True,900000,0,0,597600.0,664,597600.0,664,7:500+,900.0,0.936953734,0.009319684,0.053726589,0.0,622.137279376,35.674455095999996,6.188270176,0.0
USAA,2a947e298f1d4ccab962e5133dbc4c67,True,576960,576960,400,0.0,0,576960.0,400,6:250-499,1442.4,0.942524115,0.000801719,0.056674167,0.0,377.009646,22.669666799999998,0.3206876,0.0
Disney - DPEP,263276e162384b76b55dae05ddd5ee10,True,580390,539230,260,0.0,0,539230.0,260,6:250-499,2073.961538,0.290670272,0.284746613,0.0,0.424583111,75.57427072,0.0,74.03411937999999,110.39160886
Best Buy,f2e71bd044e84d5c96851560a8fe963d,True,522000,504000,240,0.0,0,504000.0,240,5:100-249,2100.0,0.607262838,0.110473781,0.116798642,0.165464742,145.74308112,28.03167408,26.513707439999997,39.71153808
American Express,1acf2055de4e493d8ff9fa3bc105bbcd,True,549297,473697,365,0.0,0,473697.0,365,6:250-499,1297.8,0.508151014,0.007723674,0.484125314,0.0,185.47512010999998,176.70573961,2.81914101,0.0
BOFA,af8cb64af6ff40159fdc1c1b33497714,True,441600,441600,230,0.0,0,441600.0,230,5:100-249,1920.0,0.927007043,0.004536469,0.054765191,0.013691298,213.21161989,12.595993929999999,1.0433878699999999,3.14899854
Charter,d027dbed067248829c0ed323b1278fb8,True,990360,441000,600,0.0,0,441000.0,600,7:500+,735.0,0.679729075,0.020200825,0.300069,0.0,407.837445,180.04139999999998,12.120495,0.0
Costco EQA,012428bab86b448e81f0f6d5023a94a3,True,790530,387600,190,0.0,0,387600.0,190,5:100-249,2040.0,0.136425962,0.183802751,0.672301272,0.007470014,25.92093278,127.73724168,34.922522689999994,1.4193026599999998
ServiceNow,322617b74aef4d9f883a500ee5b575dd,True,746988,380160,400,0.0,0,380160.0,400,6:250-499,950.4,0.0252223,0.48504081,0.010419934,0.479316955,10.08892,4.1679736,194.016324,191.726782
The Home Depot,08a9b5e301b349f8b05c183adabc4a85,True,378900,348588,300,0.0,0,348588.0,300,6:250-499,1161.96,0.609017706,0.083916846,0.095296173,0.211769274,182.7053118,28.588851899999998,25.1750538,63.530782200000004
lbadmin,c42c8b577b6d47e6b4ab93da28623795,True,371549,344572,263,0.0,0,344572.0,263,6:250-499,1310.159696,0.275744286,0.56234829,0.0,0.161907427,72.520747218,0.0,147.89760027,42.581653300999996
SIE,0ebaf5ac9ec549e0a3c05e0527bc57aa,True,355200,342000,280,0.0,0,342000.0,280,6:250-499,1221.428571,0.332007383,0.186793564,0.245507212,0.235686924,92.96206724,68.74201936,52.30219792,65.99233871999999
Indeed,8031bdfea42f403da521ddaac7bfe848,True,324000,324000,300,0.0,0,324000.0,300,6:250-499,1080.0,0.426025404,0.287184493,0.065179568,0.221610531,127.8076212,19.553870399999997,86.1553479,66.4831593
Sauce CSM,5056f041853f49cfbe29fc775d809533,True,376283,306792,200,0.0,0,306792.0,200,5:100-249,1533.96,0.861489345,0.03034372,0.043266776,0.064900164,172.297869,8.6533552,6.068744000000001,12.9800328
Fannie Mae,4979172e0ab841b18f71ca84d87c96c4,True,548199,288000,250,0.0,0,288000.0,250,6:250-499,1152.0,0.993120471,0.003241806,0.0,0.0,248.28011775,0.0,0.8104515,0.0
TIAA,1e718b865a434030a85009f40385ffc2,True,267347,267347,206,0.0,0,267347.0,206,5:100-249,1297.800971,0.977478095,0.004071151,0.018450757,0.0,201.36048757,3.8008559420000005,0.8386571060000001,0.0
KP.ORG,c745ec6493324cb4ac1f1d3cd09230b3,True,265200,265200,130,0.0,0,265200.0,130,5:100-249,2040.0,0.706979007,0.091981091,0.114879941,0.086159955,91.90727091000001,14.93439233,11.95754183,11.20079415
Smartsheet,a9d8d90bede04e019d49415fd6ef4e4f,True,264600,264600,175,0.0,0,264600.0,175,5:100-249,1512.0,0.0,0.385615512,0.0,0.61438449,0.0,0.0,67.4827146,107.51728574999999
Rabobank,0ee0ea717fc94087842af417397f62b9,True,358515,0,0,256515.29,208,256515.29,208,5:100-249,1233.246587,0.972832037,0.026665864,0.0,0.0,202.349063696,0.0,5.546499712,0.0
Paychex,c1df3fcb28094dc3a250f19cb3bce303,True,350446,254530,200,0.0,0,254530.0,200,5:100-249,1272.65,0.036813038,0.394185664,0.01896671,0.55003459,7.3626076,3.7933420000000004,78.83713279999999,110.006918
Discover Financial Services,e763994b4c484a5b83cfcf497c5ab20c,True,702900,254400,400,0.0,0,254400.0,400,6:250-499,636.0,0.048582907,0.303297797,0.0,0.648119293,19.4331628,0.0,121.3191188,259.2477172
DMED,cb3f66b35fc344d2bd984f18b89dac7e,True,249480,249480,125,0.0,0,249480.0,125,5:100-249,1995.84,0.919335219,4.96e-06,0.080659821,0.0,114.916902375,10.082477625000001,0.00062,0.0
Menlo Security,50b1d1b51eb44848ae072322cb0ce9d0,True,259565,235968,270,0.0,0,235968.0,270,6:250-499,873.9555556,0.897462834,0.040145889,0.015597823,0.046793468,242.31496518,4.21141221,10.839390029999999,12.63423636
"Duolingo, Inc.",a7a61e08f9934442b39d97ceb9bc5dcf,True,261334,232560,150,0.0,0,232560.0,150,5:100-249,1550.4,0.2348531,0.414236734,0.0,0.350910168,35.227965000000005,0.0,62.1355101,52.6365252
Regions Bank,7b3b7f1d92344fde9fe703ac3744c065,True,220500,220500,125,0.0,0,220500.0,125,5:100-249,1764.0,0.655267648,0.185222038,0.011393594,0.14811672,81.908456,1.42419925,23.15275475,18.514590000000002
Express Scripts,8d3650a424114a919ad713b0546ef744,True,216362,216362,100,0.0,0,216362.0,100,5:100-249,2163.62,0.950858463,0.007029613,0.042111924,0.0,95.0858463,4.2111924,0.7029613,0.0
"The Goldman Sachs Group, Inc.",144de9f6b0ee43bab31e0bf59f151301,True,245700,207900,110,0.0,0,207900.0,110,5:100-249,1890.0,0.466458905,0.053906051,0.274077167,0.205557875,51.31047955,30.148488370000003,5.929665610000001,22.61136625
Salesforce Marketing Cloud,5041f14b66504e62b751bd368c5223a9,True,205054,205054,155,0.0,0,205054.0,155,5:100-249,1322.929032,0.531361584,0.0,0.468638416,0.0,82.36104552,72.63895448,0.0,0.0
TaxAct,d77825c5a9264412b7ea430a125ecf88,True,254640,204000,106,0.0,0,204000.0,106,5:100-249,1924.528302,0.911992251,0.029962283,0.058045466,0.0,96.671178606,6.152819396,3.176001998,0.0
Dynamo,2eb32510441f430e96161acc6fb8c441,True,768072,0,0,199920.0,245,199920.0,245,5:100-249,816.0,0.971474114,0.023843659,0.0,0.0,238.01115793000002,0.0,5.841696455,0.0
Grameen Foundation,2e1099901989402394ac3d7ec0a10f69,True,279341,0,0,192942.0,135,192942.0,135,5:100-249,1429.2,0.524245977,0.142646999,0.19034686,0.142760145,70.773206895,25.696826100000003,19.257344865,19.272619575
Consumer Identity Services,fe871dee3f3943cfab94fbdbe71b88a2,True,211980,192780,85,0.0,0,192780.0,85,4:50-99,2268.0,0.256226695,0.073203946,0.582003588,0.088565763,21.779269075000002,49.470304979999995,6.22233541,7.528089855
Bank of America,2b1b03b9710c4252bf70d412e1eeb754,True,252000,192000,100,0.0,0,192000.0,100,5:100-249,1920.0,0.437488181,0.00766442,0.554847399,0.0,43.748818099999994,55.4847399,0.766442,0.0
Life & Retirement,ce3877bfb26a43afa8336b64fe6cbf6e,True,189525,132525,75,54150.0,38,186675.0,113,5:100-249,1651.99115,0.76232841,0.075708844,0.07198344,0.089979299,86.14311033,8.13412872,8.555099371999999,10.167660786999999
"Quickbase, Inc.",52e5e04b25034ae6a52c06e114e4aa09,True,206460,184140,150,0.0,0,184140.0,150,5:100-249,1227.6,0.873439324,0.001916235,0.124644442,0.0,131.0158986,18.6966663,0.28743525000000003,0.0
New Relic Engineering,5a738cee3f19436f866c46d6a97657b3,True,190500,183000,125,0.0,0,183000.0,125,5:100-249,1464.0,0.690428647,0.013325768,0.273457463,0.022788122,86.303580875,34.182182875,1.665721,2.84851525
UKG - Quality,a737bad0af41419f9de83175dd30ea48,True,361176,181656,87,0.0,0,181656.0,87,4:50-99,2088.0,0.875403164,0.032845409,0.030583808,0.061167616,76.160075268,2.660791296,2.857550583,5.321582592
camelot,81ce68fea39a4541bd2c1375a324a3e8,True,199199,0,0,180000.01,100,180000.01,100,5:100-249,1800.0001,0.019611566,0.408298442,0.009227258,0.562862734,1.9611566,0.9227258,40.8298442,56.2862734
Unqork,0786abc86d834cc29e79d0dc6f00f7f1,True,884550,180000,150,0.0,0,180000.0,150,5:100-249,1200.0,0.215422278,0.004771534,0.779806189,0.0,32.3133417,116.97092835,0.7157301,0.0
Northwestern Mutual,3825e5fe74c3475a8fd8119da50eff47,True,393240,179046,250,0.0,0,179046.0,250,6:250-499,716.184,0.969471673,0.007231089,0.0,0.023297239,242.36791825,0.0,1.80777225,5.82430975
Herbalife Nutrition Ltd,656e3a7d13d04d219bc36ef5b2839c4a,True,372530,178800,150,0.0,0,178800.0,150,5:100-249,1192.0,0.83547498,0.012002974,0.152522045,0.0,125.321247,22.87830675,1.8004460999999998,0.0
"Visa Technology and Operations, LLC",0419d1cc1bfb45d3a3f70c62f0587b7a,True,178200,162000,50,16200.0,5,178200.0,55,4:50-99,3240.0,0.746827787,0.005507908,0.247664304,0.0,41.075528285,13.62153672,0.30293494,0.0
Atmosphere,ccbd440a560c49dfb4feaed4a4c9b23c,True,177954,0,0,177954.36,100,177954.36,100,5:100-249,1779.5436,0.201893351,0.001105784,0.797000865,0.0,20.1893351,79.7000865,0.11057840000000001,0.0
Amazon Chime,f92089fecc21453a97489ba30b6f3206,True,240600,175560,100,0.0,0,175560.0,100,5:100-249,1755.6,0.111575764,1.85e-07,0.888424051,0.0,11.1575764,88.8424051,1.85e-05,0.0
Move Sales,5a295c52951c45ed968b35318d3ae874,True,360000,172800,100,0.0,0,172800.0,100,5:100-249,1728.0,0.119903419,0.254583331,0.517090942,0.108422294,11.990341899999999,51.7090942,25.4583331,10.8422294
Fiserv,24f024acb9aa4899954233d961f6fc69,True,350460,171000,150,0.0,0,171000.0,150,5:100-249,1140.0,0.683907445,0.010848494,0.30524406,0.0,102.58611675,45.786609,1.6272741,0.0
Autodesk,b86a296c39124c1b994a0a87a8559e6d,True,251344,170083,100,0.0,0,170083.0,100,5:100-249,1700.83,0.702104833,4.41e-05,0.297851045,0.0,70.2104833,29.7851045,0.00441,0.0
CriteoRD,d60a74bb19db4161870c35bedd7b8604,True,204337,1986,0,167600.12,125,169586.12,125,5:100-249,1356.68896,0.444659208,0.116898674,0.137796091,0.300646018,55.582401,17.224511375000002,14.61233425,37.58075225
Tenable Inc.,a7428ea9ee184d988c9dd9e2f3710d20,True,231560,163125,120,0.0,0,163125.0,120,5:100-249,1359.375,0.999393951,0.0,0.0,0.0,119.92727411999999,0.0,0.0,0.0
Splunk,08365d885ffb43ee9964c09fd1e77c0c,True,185408,162000,100,0.0,0,162000.0,100,5:100-249,1620.0,0.678703845,0.302155675,0.019140484,0.0,67.8703845,1.9140484,30.215567500000002,0.0
Liberty Mutual,27d58ce440664296ab801c58b0843d71,True,240096,158904,150,0.0,0,158904.0,150,5:100-249,1059.36,0.903511616,0.004489956,0.08049863,0.011499804,135.5267424,12.0747945,0.6734934,1.7249706
CDK Global LLC,9fb4d3a3c3174d53aa7bd371cc3f1c96,True,194208,158208,100,0.0,0,158208.0,100,5:100-249,1582.08,0.832689459,0.003355669,0.163954872,0.0,83.2689459,16.3954872,0.3355669,0.0
H-E-B Grocery,740e7b409834424eb29f62999b33d12e,True,386400,156000,100,0.0,0,156000.0,100,5:100-249,1560.0,0.712375236,0.005356245,0.282268519,0.0,71.2375236,28.2268519,0.5356245,0.0
The Walt Disney Company,1836a1ca271645769ef31fbb88896bf8,True,155546,155546,75,0.0,0,155546.0,75,4:50-99,2073.946667,0.819496207,0.100314184,0.048113769,0.032075846,61.462215525000005,3.608532675,7.5235638,2.40568845
LifeLock Inc,e50dbdb54e964d0ca14f9776a3afcd4f,True,150300,150300,75,0.0,0,150300.0,75,4:50-99,2004.0,0.28436207,5.13e-05,0.715586645,0.0,21.32715525,53.668998375,0.0038475000000000002,0.0
Assurant Glow Automation,304cd73c78fc429b80ace7a6d841bd91,True,240000,150000,100,0.0,0,150000.0,100,5:100-249,1500.0,0.999005284,0.00014758,0.0,0.0,99.9005284,0.0,0.014757999999999999,0.0
American Airlines,547d6fb930254977bfbd6c49ee94ea3f,True,171900,148800,80,0.0,0,148800.0,80,4:50-99,1860.0,0.863032338,0.080847266,0.018706399,0.037412798,69.04258704,1.4965119199999999,6.4677812800000005,2.9930238399999998
Best Western International,0440e6b8427347b99fac625272e153ae,True,166327,147427,80,0.0,0,147427.0,80,4:50-99,1842.8375,0.974820682,0.003937683,0.0,0.0,77.98565456,0.0,0.31501464,0.0
Redfin,dfd1f12c32d84763b8327319face598b,True,147084,147084,100,0.0,0,147084.0,100,5:100-249,1470.84,0.000206455,0.058149057,0.820141973,0.121502514,0.0206455,82.0141973,5.8149057,12.1502514
Metro,6fb3b4dd137f4086bad68f09f57de4ce,True,168481,0,0,147053.38,75,147053.38,75,4:50-99,1960.711733,0.965870922,0.00103306,0.0330925,0.0,72.44031915000001,2.4819375,0.07747949999999999,0.0
Major League Baseball,2ef67e902afb4d3085d5c94e20d68979,True,199200,145350,75,0.0,0,145350.0,75,4:50-99,1938.0,0.007039798,0.003829622,0.98913058,0.0,0.52798485,74.1847935,0.28722165,0.0
AAA-Clublabs,e3b2859d160f4bbabb221f78c784198e,True,241839,144000,79,0.0,0,144000.0,79,4:50-99,1822.78481,0.410754792,0.000698778,0.588546429,0.0,32.449628568,46.495167891,0.055203462,0.0
Adobe_PlatfromEngineering,0b84d5c256ee4d7dbf6beae4bda8d58c,True,302772,140112,190,0.0,0,140112.0,190,5:100-249,737.4315789,0.800775394,0.003562379,0.195662226,0.0,152.14732486,37.175822939999996,0.6768520100000001,0.0
Delta Dental of California,113a23a353fa4f60ad4b187c2a03af75,True,138960,138960,60,0.0,0,138960.0,60,4:50-99,2316.0,0.995640528,2.79e-05,0.0,0.0,59.738431680000005,0.0,0.0016740000000000001,0.0
SYF Entreprise,835e6c8077b849e7b8befd65d3c0a666,True,1086976,138600,132,0.0,0,138600.0,132,5:100-249,1050.0,0.744221444,0.013126869,0.242651687,0.0,98.237230608,32.030022684,1.7327467079999999,0.0
Lloyds Banking Group,74f4793c698340a6bde381b03f5fbf35,True,137086,1,0,137085.0,65,137086.0,65,4:50-99,2109.015385,0.764305652,0.034701934,0.100496206,0.100496206,49.67986738,6.53225339,2.25562571,6.53225339
