org_name,org_uuid,arr_ind,current_arr,current_vm_arr,vm_ccy,current_vm_arr_eu,vm_de_ccy,current_vm_arr_total,vm_ccy_total,ccy_bins,arr_per_vm,ccy_pc_perc,ccy_android_perc,ccy_mac_perc,ccy_ios_perc
happn,00eee57772ea4991ae4baafcbed0937a,TRUE,31403,0,0,27945.09,18,27945.09,18,2:10-24,1552.505,0.037133822,0.543256085,0,0.419610093
Costco EQA,012428bab86b448e81f0f6d5023a94a3,TRUE,790530,387600,190,0,0,387600,190,5:100-249,2040,0.136425962,0.183802751,0.672301272,0.007470014
Ingenico,01d4f01f9ebd44f09e3468594e731ee2,TRUE,9880,0,0,9879.6,4,9879.6,4,1:1-9,2469.9,0.5897168,0.039049422,0.307852402,0.063381377
iPipeline UK,01e29b3fa7e64501b9e2ed5bea5310c1,TRUE,9600,0,0,9600,8,9600,8,1:1-9,1200,0.773634333,0.007026284,0.159519551,0.059819832
sincro,020772bdda174bc895eaebf381ac3895,TRUE,79800,79800,50,0,0,79800,50,4:50-99,1596,0.889945252,0,0.106164381,0.003538813
Patelco,0243e340be9e4635ae45329b2a360c8d,TRUE,66893,23484,10,0,0,23484,10,2:10-24,2348.4,0.744505942,0.021311975,0.218569944,0.015612139
Fusion,036d25dd46cc49249c7a1bce1c8d7843,TRUE,29626,0,0,29626.2,17,29626.2,17,2:10-24,1742.717647,1,0,0,0
NYL,03af95db5f5046b4877b4dd2e0912587,TRUE,289800,100800,60,0,0,100800,60,4:50-99,1680,0.850027157,0.006422651,0.143550192,0
"BabyCenter, LLC",0404fedcc8e84bdfa5cad91505412ff1,TRUE,24720,24720,10,0,0,24720,10,2:10-24,2472,0.624097507,0.140756606,0,0.235145888
"Visa Technology and Operations, LLC",0419d1cc1bfb45d3a3f70c62f0587b7a,TRUE,178200,162000,50,16200,5,178200,55,4:50-99,3240,0.746827787,0.005507908,0.247664304,0
Best Western International,0440e6b8427347b99fac625272e153ae,TRUE,166327,147427,80,0,0,147427,80,4:50-99,1842.8375,0.974820682,0.003937683,0,0
Trakstar,04460817ba984c7f90e6a052a79b641b,TRUE,19053,9526,16,0,0,9526,16,2:10-24,595.375,0.945257767,0,0.054742233,0
Channel 4,050e4ea2cc6c46f1bb2c81af5275c3c6,TRUE,105599,0,0,63359.87,55,63359.87,55,4:50-99,1151.997636,0.965877321,7.44E-06,0.034115243,0
predictive-index,054f3371f0774b28b0b1e9ac22cbe060,TRUE,20880,20880,10,0,0,20880,10,2:10-24,2088,1,0,0,0
Cmed Technology,055386ca1e434d0db6b8b25508265861,TRUE,17880,0,0,17880,10,17880,10,2:10-24,1788,0.896117075,0,0.103882925,0
IBM Watson Health,069621c0a3b44cb1abe498f4d102bb65,TRUE,19800,19800,10,0,0,19800,10,2:10-24,1980,0.204183564,0.258893992,0.226700587,0.310221856
Ikano Bank AB,071b1281c4b945e09de9d94e8ef3dee8,TRUE,71484,0,0,11631.26,12,11631.26,12,2:10-24,969.2716667,0.973548687,0.006130378,0.012192561,0.008128374
Cisco Live Streaming,077055e9e7e849ccae487808c5c595f7,TRUE,41872,18269,10,0,0,18269,10,2:10-24,1826.9,0,0,0,0
Adevinta,0770f2b36ab84bad9515221e1d73a20e,TRUE,19200,0,0,19200,11,19200,11,2:10-24,1745.454545,0.953521795,0.000735211,0.04002512,0.005717874
Unqork,0786abc86d834cc29e79d0dc6f00f7f1,TRUE,884550,180000,150,0,0,180000,150,5:100-249,1200,0.215422278,0.004771534,0.779806189,0
Splunk,08365d885ffb43ee9964c09fd1e77c0c,TRUE,185408,162000,100,0,0,162000,100,5:100-249,1620,0.678703845,0.302155675,0.019140484,0
Careerbuilder.com,0869236fc47447d3a07c4f4f714f47df,FALSE,24000,271920,10,0,0,271920,10,2:10-24,27192,0.995962835,0.000942806,0,0
Yell,087426ea9b9d4b07aa5147bf8d6f2f1e,TRUE,62027,0,0,29999.38,40,29999.38,40,3:25-49,749.9845,0.030434457,0.183193774,0,0.786371769
The Home Depot,08a9b5e301b349f8b05c183adabc4a85,TRUE,378900,348588,300,0,0,348588,300,6:250-499,1161.96,0.609017706,0.083916846,0.095296173,0.211769274
Deloitte Application Studios,091ec930d29d4a5d8080c758190332a1,TRUE,156600,31200,20,0,0,31200,20,2:10-24,1560,0.01050233,0.011941216,0.903177159,0.074379295
Leaf Group,09710957fe2944f897d60646e41e10da,FALSE,23760,100829,20,0,0,100829,20,2:10-24,5041.45,0.063288434,0.080780493,0.730672888,0.125258209
Bank of the West,09737c75995c45a69dbad635b5987126,TRUE,130080,107400,50,0,0,107400,50,4:50-99,2148,0.676052815,0.012433847,0.286592269,0.024921067
Happy Money,097f96c200264da0a7babd5d055533a8,TRUE,65196,41100,32,0,0,41100,32,3:25-49,1284.375,0.049892305,0.000829687,0.949278008,0
Mulesoft,0a252d1b6f3b42c38c1c265054adb745,TRUE,89486,89486,58,0,0,89486,58,4:50-99,1542.862069,0.165566265,0,0.834433735,0
Tapestry,0a354d0843e146a39c692240ba3a31c9,TRUE,141660,35760,50,0,0,35760,50,4:50-99,715.2,0.902352512,0.001999339,0.03825926,0.057388889
AAMC,0acc1fb367324413bd4d2a2e431e6f01,TRUE,64926,64926,30,0,0,64926,30,3:25-49,2164.2,0.819856877,0.011781515,0.157137501,0.011224107
hseffler,0b2f3e83fad245c980bac55985c6198f,TRUE,35410,0,0,31809.61,20,31809.61,20,2:10-24,1590.4805,0.199942444,0.21232295,0.208155978,0.379578549
Adobe_PlatfromEngineering,0b84d5c256ee4d7dbf6beae4bda8d58c,TRUE,302772,140112,190,0,0,140112,190,5:100-249,737.4315789,0.800775394,0.003562379,0.195662226,0
"Buzzfeed, Inc.",0bee6427dc56464eaf6dbe5ceed33a7c,TRUE,16441,16441,10,0,0,16441,10,2:10-24,1644.1,0.534026527,0.00040903,0.465564442,0
Quest,0c2c415182894a6bbdcc30bfebd01f9a,FALSE,27000,48000,10,0,0,48000,10,2:10-24,4800,1,0,0,0
plusgradeteam,0ce651962cb040ecad8f83dd413f174b,TRUE,19200,19200,10,0,0,19200,10,2:10-24,1920,0.001257568,0.202167701,0.72332648,0.073248251
GM Financial,0ceb55ad64384c6f85dec96ccc66ead1,TRUE,92035,22500,15,0,0,22500,15,2:10-24,1500,0.180037614,0.008017794,0.811944592,0
Kimble Applications Limited,0d209c5172d74b10a005ccec88faeb9c,FALSE,16083,216,0,16083.38,8,16299.38,8,1:1-9,2037.4225,0.943022668,0.020945616,0,0.036031717
ASG,0d9552aaf47147be94bdeb17ea3ce945,TRUE,33600,9600,4,0,0,9600,4,1:1-9,2400,0,0,0,0
TWDC,0e8889f4694e4c0aa4c0c9756b7fdbb6,TRUE,59856,49776,30,0,0,49776,30,3:25-49,1659.2,0.381863693,0.436231132,0,0.181905161
PCAP,0eac6c441d194242962b5a43a11702a3,TRUE,71930,41952,26,0,0,41952,26,3:25-49,1613.538462,0.131085496,0.002680184,0.866234321,0
SIE,0ebaf5ac9ec549e0a3c05e0527bc57aa,TRUE,355200,342000,280,0,0,342000,280,6:250-499,1221.428571,0.332007383,0.186793564,0.245507212,0.235686924
Global Payments,0ec27265b6ad4636abab2cc2479a2caf,TRUE,115452,70452,30,0,0,70452,30,3:25-49,2348.4,0.993537875,0.00156923,0,0
BSH,0edf043733be42c0989c3de5286d5b02,TRUE,66000,0,0,52500.01,25,52500.01,25,3:25-49,2100.0004,0.850908892,0.018091256,0.130990682,0
Rabobank,0ee0ea717fc94087842af417397f62b9,TRUE,358515,0,0,256515.29,208,256515.29,208,5:100-249,1233.246587,0.972832037,0.026665864,0,0
HP Inc - Software Platforms,0fd4a3bc1cf14b1e8ed760d4fefaf93e,TRUE,18946,14146,10,0,0,14146,10,2:10-24,1414.6,0.804882085,0.012878455,0.169222355,0.013017104
ProgLeasingMaster,10b4c98395d645e5b23b8f9c3b49b9af,FALSE,192708,198000,101,0,0,198000,101,5:100-249,1960.39604,0.615633681,0.012144763,0.372221556,0
Iron Mountain,112664032c0f41d68762f5455f5b03ef,TRUE,32640,14640,10,0,0,14640,10,2:10-24,1464,1,0,0,0
Delta Dental of California,113a23a353fa4f60ad4b187c2a03af75,TRUE,138960,138960,60,0,0,138960,60,4:50-99,2316,0.995640528,2.79E-05,0,0
Otto,1184709f2d644c049c44074c9b0835c1,TRUE,49192,0,0,41904.52,30,41904.52,30,3:25-49,1396.817333,0.943080097,0.034558983,0.02236092,0
DocuSign,120b913f28dc4f94b92bb8a577470d76,TRUE,114720,51584,45,0,0,51584,45,3:25-49,1146.311111,0.911751403,0.037522312,0.050726288,0
Torrid,123e181cfb2847f6b96bf2930db1a096,TRUE,67308,34800,29,0,0,34800,29,3:25-49,1200,0.481690951,0.068915667,0.019538843,0.429854541
EUROPCAR INTERNATIONAL SASU,12736e8d3f154f42914328d15556c53b,TRUE,68999,0,0,17999.96,10,17999.96,10,2:10-24,1799.996,0.897298051,0.01898125,0.078139319,0.00558138
Credit Karma1,12b04ce562b54d849c295a7f341dfc7d,TRUE,68102,26851,15,0,0,26851,15,2:10-24,1790.066667,0.039242273,0.289711444,0.104850981,0.566195296
Home Depot,1392935393f64cef9422cc4eedc96b7c,TRUE,126300,126300,100,0,0,126300,100,5:100-249,1263,0.990989472,0.001139404,0,0
BITMARCK Technik Test Services,142af8be95bc4b3d97757fffb0b5156a,TRUE,21843,0,0,6393.5,3,6393.5,3,1:1-9,2131.166667,0.304680017,0.002916848,0.692403135,0
"LogRhythm, Inc.",14494817eb9e4394a51a771f086db2f6,TRUE,26052,20880,18,0,0,20880,18,2:10-24,1160,1,0,0,0
"The Goldman Sachs Group, Inc.",144de9f6b0ee43bab31e0bf59f151301,TRUE,245700,207900,110,0,0,207900,110,5:100-249,1890,0.466458905,0.053906051,0.274077167,0.205557875
HeartFlow,14552fa8adb14658b4253ae4572d3309,TRUE,38664,38664,18,0,0,38664,18,2:10-24,2148,0.743085185,0,0.256914815,0
