,org_uuid,ccy_pc_perc,ccy_mac_perc,ccy_android_perc,vm_ccy
0,c1df3fcb28094dc3a250f19cb3bce303,0.036813038,0.5690013,0.394185664,200
1,113a23a353fa4f60ad4b187c2a03af75,0.995640528,0.004331607,2.79E-05,60
2,547d6fb930254977bfbd6c49ee94ea3f,0.863032338,0.056119197,0.080847266,80
3,e3b2859d160f4bbabb221f78c784198e,0.410754792,0.588546429,0.000698778,79
4,6a1a02be6cbe43738e65766d2e171c7f,0.99946497,0.000531504,3.53E-06,65
5,cb3f66b35fc344d2bd984f18b89dac7e,0.919335219,0.080659821,4.96E-06,125
6,8031bdfea42f403da521ddaac7bfe848,0.426025404,0.2867901,0.287184493,300
7,6eb144c269894a45849945fbe6c8f121,0.027094828,0.913709086,0.059196087,45
8,d0fbb1d73a1740da8acc300e9bdb4f03,0.963055326,0.025650482,0.011294192,20
9,b0c35d4cb1e94983933ab33859ba46f9,1,0,0,22
10,d3a1c896727b42598c4bd8ce2354513b,0.783600192,0.118994226,0.097405573,45
11,12b04ce562b54d849c295a7f341dfc7d,0.039242273,0.671046276,0.289711444,12
12,9e218ac151fb4c908cebaf565980e4dd,0.731944046,0.175690979,0.092364973,110
13,cf5a0a619b08400a9926c95b85975d5a,0.999807783,0.000192217,0,20
14,b27d784f75cb48459d56467d221c5c82,0.918108459,0.057279193,0.024612348,53
15,0ec27265b6ad4636abab2cc2479a2caf,0.993537875,0.004892895,0.00156923,30
16,c98e7a6084744c92b6f0459147b0c16d,0.979159415,0.020839517,1.07E-06,50
17,5056f041853f49cfbe29fc775d809533,0.861489345,0.108166941,0.03034372,200
18,f92089fecc21453a97489ba30b6f3206,0.111575764,0.888424051,1.85E-07,110
19,a145d0979d7f459faa0558f759c1883d,0.044828612,0.92141495,0.033756439,36
20,71e00a9fc7c04a6394eedf45a2e5067a,0.637272297,0.362673537,5.42E-05,20
21,e98bb89bfdff433d8c07536b0deb4b4b,0.985758821,0.014241179,0,10
22,380f232a2e404c52b04f1f2202455ced,0,0.11408889,0.88591111,10
23,b86a296c39124c1b994a0a87a8559e6d,0.702104833,0.297851045,4.41E-05,100
24,af64620e8a784ee4913aa6e807a390c1,1,0,0,11
25,693f5dd5d91b468185c3683d7ec92aa7,0.358972187,0.5234049,0.117622913,40
26,130b77d7b43e424a9d386994aea58c71,0.834568762,0.154469835,0.010961403,10
27,bab8fa418e3543f583c2be09d40df65b,0.477102501,0.496998695,0.025898804,10
28,55cc88fd03c34291a47f41b5bf121f27,0.029747948,0.951628763,0.018623289,10
29,2b335960776e4d0ea60e08311f70e2d3,0.987566846,0.004495896,0.007937258,20
30,097f96c200264da0a7babd5d055533a8,0.049892305,0.949278008,0.000829687,32
31,deb762964304463393d15c6e7112d9f4,0.917308103,0.082691897,0,70
32,df4ae219443f40a2883e20ae9e9d0dfe,0.999461099,0,0.000538901,25
33,9972b511fb2f44bb8e70118b2340af4f,1,0,0,8
34,0eac6c441d194242962b5a43a11702a3,0.131085496,0.866234321,0.002680184,26
35,5e58eb357a2248b5bad8c9269677156d,0.663573051,0.267423719,0.06900323,8
41,94befe0ff7c44062841eadcac05e5e8a,0.931348283,0.052060507,0.01659121,10
42,d92c1d5709be47ae935f2bae1408e1f8,0.759242069,0.229107615,0.011650315,6
43,7c57e3ebb90045d3acb19d502ae3e57a,0.98115462,0.01884538,0,8
46,e4b8de0d231f4aec9f3adac5cab48541,0.849016643,0.150983357,0,50
47,d28a012768124cb485ce55fd8840fd08,0.343386975,0.490001221,0.166611804,15
49,3c8c27ce65454642b68886af1d72b909,1,0,0,10
51,875fbb4aa1e64f5584a339490d0582c3,0.51497942,0.275720544,0.209300035,5500
52,624a501ffde74038a9c329e359a00f19,0.951294877,0.048684611,2.05E-05,80
53,9fb4d3a3c3174d53aa7bd371cc3f1c96,0.832689459,0.163954872,0.003355669,115
54,6d3a68433bf0488d930efb9a4759253e,0.609860672,0.016815703,0.373323625,26
55,84aed1896daa47acba2953749378c49c,0.269875026,0.333860013,0.396264961,11
56,1703bbd01a7b4d5390bd12b989f9838d,0.428787183,0.463239686,0.107973131,16
57,24f024acb9aa4899954233d961f6fc69,0.683907445,0.30524406,0.010848494,150
58,380137df3bb34d89b232500d91799680,0.431417584,0.520987799,0.047594617,10
66,fcf5c33dc27549289ec80497bbe621eb,0.997060153,0.002618128,0.000321719,5
67,4f1a5c8fb90e41489b201e563ed89c89,0.000947102,0.933232075,0.065820824,30
68,7df881e99ebe404ba87474e8db292824,0.370240974,0.516747447,0.113011579,30
72,e98b566df4e244e0a96b3a48c1651acb,0.470683398,0.498144751,0.031171851,15
73,e9dfdb87ad88411aa3fda398f655487b,0.357489104,0.642510896,0,10
76,ade0021d91f949eea6b0e8e9ef9ea250,0.999340346,0.000659654,0,35
77,280b987da6614d4cae6f0663c0a40d4a,0.721133085,0.006622822,0.272244092,30
79,40144ad8647d4696b851b51911603bb3,0.170319407,0.826325687,0.003354905,6
80,edebc9dae7df4e96a426195221f75b9f,1,0,0,8
81,4adb2c3b800e452bb124a33f60b1bb48,0.078578852,0.709651358,0.21176979,10
84,03471b60f8c84f2c8a5d9110a895fd0b,0.663787869,0.26708758,0.069124551,5
